"X","filename","trialID","trial_value","sign_start","sign_end","sign_start_milli","sign_end_milli","speakerName","KS.Try.marking","Try.marking","KS.T.1","T.1","KS.T0","T0","KS.Teaching","Teaching","Disagree","Disagree_What"
115,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 17 sec","21 min 18 sec",1277846,1278090,"India",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yes","T-1, Teaching"
116,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 18 sec","21 min 19 sec",1278919,1279471,"India",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Yes","TryMarking, T-1  "
76,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 15 sec","3 min 17 sec",195537,197105,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No",""
64,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 5 sec","3 min 6 sec",185747,186451,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yes","Teaching"
65,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 6 sec","3 min 6 sec",186457,186988,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yes","Teaching"
68,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 7 sec","3 min 7 sec",187640,187991,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No",""
72,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 9 sec","3 min 10 sec",189621,190294,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No",""
213,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 16 sec","1 min 17 sec",76700,77199,"Indonesia",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"No",""
188,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,18,"7 min 24 sec","7 min 25 sec",444100,445120,"Indonesia",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes","T0 "
173,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",8,18,"9 min 29 sec","9 min 31 sec",569783,571133,"Indonesia",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes","T0 "
288,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",28,7,"2 min 45 sec","2 min 45 sec",165435,165967,"Jordan",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes","TryMarking   "
323,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,"13 min 48 sec","13 min 49 sec",828413,829251,"India",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yes","TryMarking, Teaching"
421,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 15 sec","11 min 17 sec",675397,677326,"Indonesia",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes","TryMarking   "
427,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 28 sec","11 min 29 sec",688639,689758,"Indonesia",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"No",""
432,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 47 sec","11 min 51 sec",707316,711087,"Indonesia",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes","TryMarking, T0 "
392,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",9,18,"16 min 43 sec","16 min 44 sec",1003645,1004319,"Indonesia",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yes","TryMarking, T-1, Teaching"
398,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",9,18,"16 min 46 sec","16 min 47 sec",1006296,1007142,"India",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes","T0 "
448,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",6,14,"3 min 6 sec","3 min 7 sec",186503,187385,"Jordan",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"Yes","T0, Teaching"
