"","filename","trialID","director","speaker","trial_value","trial_start","trial_end","trial_length","sign_start","sign_end","sign_length","sign_value","sign_notes","iconic","signOrigin","T0Check","CandidateUnderstanding","TryMarked","Indexicality","Teach","T_minus_1","T0","week","session","part1","part2","originalSignLabel","speakerName","inventedBy","IX","OS","LW","SE","freq_week_1_total","freq_week_4_total","freq_week4_withinColour","prop_week4_withinColour"
"55","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,169451,170393,942,"IX:TONGUE","IX",NA,NA,FALSE,"No",TRUE,"Yes-body",FALSE,TRUE,FALSE,1,"1","Jordan","India","tongue","India","India",TRUE,FALSE,FALSE,FALSE,14,3,0,0
"56","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,170393,170395,2,"IX:TONGUE","IX",NA,NA,FALSE,"No",TRUE,"Yes-body",FALSE,TRUE,FALSE,1,"1","Jordan","India","TONGUE","India","India",TRUE,FALSE,FALSE,FALSE,14,3,0,0
"57","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,170558,171865,1307,"RED(MOUTH)","OS",NA,"",FALSE,"No",TRUE,"Yes-body",FALSE,TRUE,FALSE,1,"1","Jordan","India","RED(mouth)","India","Nepal",FALSE,TRUE,FALSE,FALSE,26,14,0,0
"58","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,171932,172423,491,"LIPSTICK",NA,NA,NA,FALSE,"No",FALSE,"yes",FALSE,FALSE,FALSE,1,"1","Jordan","India","LIPSTICK","India","India",FALSE,FALSE,FALSE,FALSE,2,0,0,0
"59","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,172423,174786,2363,"RED(MOUTH) + NOT+DIFFERENT","OS",NA,"",FALSE,"No",TRUE,"Yes-body",FALSE,TRUE,FALSE,1,"1","Jordan","India","RED(mouth) + NOT+different","India","India",FALSE,TRUE,FALSE,FALSE,1,0,0,0
"60","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,174842,176859,2017,"IX:TONGUE +IX:LIP+DIFFERENT",NA,NA,NA,FALSE,"No",TRUE,"Yes-body",FALSE,TRUE,FALSE,1,"1","Jordan","India","IX:tongue +IX:lip+Different","India","India",FALSE,FALSE,FALSE,FALSE,1,0,0,0
"61","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,176900,177864,964,"IX:TONGUE+IX:LIP",NA,NA,NA,FALSE,"No",FALSE,"Yes-body",FALSE,FALSE,FALSE,1,"1","Jordan","India","IX:tongue+IX:lip","India","India",FALSE,FALSE,FALSE,FALSE,1,0,0,0
"210","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,1,"18",69619,192119,122500,177636,190466,12830,"EAT#FOOD",NA,NA,NA,FALSE,"No",FALSE,"no",FALSE,TRUE,FALSE,1,"1","Nepal","Indonesia","EAT#FOOD","Nepal","Nepal",FALSE,FALSE,FALSE,FALSE,1,0,0,0
"62","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,179253,179516,263,"IX:TONGUE","IX",NA,"",FALSE,"No",FALSE,"Yes-body",FALSE,FALSE,FALSE,1,"1","Jordan","India","tongue","India","India",TRUE,FALSE,FALSE,FALSE,14,3,0,0
"90","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,1,"24",166464,226582,60118,180244,180729,485,"SAME",NA,NA,NA,TRUE,"No",FALSE,"no",FALSE,FALSE,TRUE,1,"1","Jordan","India","SAME","Jordan","Jordan",FALSE,FALSE,FALSE,FALSE,28,13,0,0
